	Source	Target	Weight	Type
0	#tia	#ama	21	Undirected
1	#tia	#rosi	11	Undirected
13	#ama	#rosi	11	Undirected
2	#tia	#tio	7	Undirected
14	#ama	#tio	6	Undirected
28	#rosi	#tio	5	Undirected
4	#tia	#mart	3	Undirected
17	#ama	#sol3	3	Undirected
16	#ama	#mart	3	Undirected
33	#rosi	#sol1	2	Undirected
30	#rosi	#sol3	2	Undirected
36	#rosi	#sol2	2	Undirected
20	#ama	#sol1	2	Undirected
40	#madr	#sol3	2	Undirected
43	#madr	#sol1	2	Undirected
44	#madr	#sol2	2	Undirected
47	#sol3	#sol1	2	Undirected
48	#sol3	#sol2	2	Undirected
54	#sol1	#sol2	2	Undirected
24	#ama	#sol2	2	Undirected
29	#rosi	#madr	2	Undirected
5	#tia	#sol3	2	Undirected
8	#tia	#sol1	2	Undirected
3	#tia	#madr	2	Undirected
15	#ama	#madr	2	Undirected
11	#tia	#sol2	2	Undirected
21	#ama	#much	1	Undirected
7	#tia	#ayo2	1	Undirected
45	#sol3	#ayo1	1	Undirected
46	#sol3	#ayo2	1	Undirected
6	#tia	#ayo1	1	Undirected
50	#ayo1	#sol1	1	Undirected
49	#ayo1	#ayo2	1	Undirected
41	#madr	#ayo1	1	Undirected
51	#ayo1	#sol2	1	Undirected
52	#ayo2	#sol1	1	Undirected
53	#ayo2	#sol2	1	Undirected
55	#man1	#man2	1	Undirected
56	#man1	#man3	1	Undirected
42	#madr	#ayo2	1	Undirected
39	#tio	#voz	1	Undirected
9	#tia	#much	1	Undirected
12	#tia	#voz	1	Undirected
23	#ama	#sobr	1	Undirected
19	#ama	#ayo2	1	Undirected
25	#ama	#man2	1	Undirected
26	#ama	#man3	1	Undirected
27	#ama	#voz	1	Undirected
18	#ama	#ayo1	1	Undirected
31	#rosi	#ayo1	1	Undirected
22	#ama	#man1	1	Undirected
32	#rosi	#ayo2	1	Undirected
34	#rosi	#much	1	Undirected
35	#rosi	#man1	1	Undirected
10	#tia	#sobr	1	Undirected
37	#rosi	#man2	1	Undirected
38	#rosi	#man3	1	Undirected
57	#man2	#man3	1	Undirected
