	Source	Target	Weight	Type
2	#marg	#tatu	7.0	Undirected
0	#marg	#pedr	5.0	Undirected
26	#pedr	#simo	5.0	Undirected
52	#tatu	#migu	4.0	Undirected
25	#pedr	#tatu	4.0	Undirected
4	#marg	#migu	4.0	Undirected
40	#luce	#tatu	3.0	Undirected
51	#tatu	#simo	3.0	Undirected
44	#luce	#rein	2.0	Undirected
42	#luce	#migu	2.0	Undirected
97	#grit	#sere	2.0	Undirected
119	#sere	#viej	2.0	Undirected
54	#tatu	#cieg	2.0	Undirected
59	#tatu	#idio	2.0	Undirected
90	#migu	#vend	2.0	Undirected
64	#tatu	#vend	2.0	Undirected
28	#pedr	#peda	2.0	Undirected
117	#sere	#quin	2.0	Undirected
98	#grit	#quin	2.0	Undirected
99	#grit	#milo	2.0	Undirected
118	#sere	#milo	2.0	Undirected
24	#pedr	#luce	2.0	Undirected
101	#cieg	#vend	2.0	Undirected
122	#quin	#milo	2.0	Undirected
3	#marg	#simo	2.0	Undirected
16	#marg	#vend	2.0	Undirected
15	#marg	#viej	2.0	Undirected
6	#marg	#cieg	2.0	Undirected
7	#marg	#peda	2.0	Undirected
10	#marg	#idio	2.0	Undirected
82	#migu	#cieg	2.0	Undirected
1	#marg	#luce	2.0	Undirected
95	#migu	#vent	1.0	Undirected
79	#simo	#trop	1.0	Undirected
80	#simo	#beat	1.0	Undirected
81	#migu	#grit	1.0	Undirected
96	#migu	#chal	1.0	Undirected
88	#migu	#milo	1.0	Undirected
94	#migu	#matr	1.0	Undirected
83	#migu	#rein	1.0	Undirected
92	#migu	#pere	1.0	Undirected
91	#migu	#sold	1.0	Undirected
84	#migu	#ludo	1.0	Undirected
89	#migu	#viej	1.0	Undirected
85	#migu	#idio	1.0	Undirected
86	#migu	#sere	1.0	Undirected
87	#migu	#quin	1.0	Undirected
93	#migu	#par	1.0	Undirected
107	#peda	#sapo	1.0	Undirected
100	#grit	#viej	1.0	Undirected
102	#cieg	#pere	1.0	Undirected
131	#pere	#par	1.0	Undirected
130	#sold	#matr	1.0	Undirected
129	#vend	#vent	1.0	Undirected
128	#vend	#par	1.0	Undirected
127	#vend	#pere	1.0	Undirected
126	#viej	#rapa	1.0	Undirected
125	#viej	#muje	1.0	Undirected
124	#milo	#viej	1.0	Undirected
123	#quin	#viej	1.0	Undirected
121	#sere	#rapa	1.0	Undirected
120	#sere	#muje	1.0	Undirected
116	#idio	#sapo	1.0	Undirected
115	#idio	#matr	1.0	Undirected
114	#idio	#sold	1.0	Undirected
113	#beni	#beat	1.0	Undirected
112	#ludo	#matr	1.0	Undirected
111	#ludo	#sold	1.0	Undirected
110	#ludo	#idio	1.0	Undirected
109	#rein	#chal	1.0	Undirected
108	#rein	#poca	1.0	Undirected
77	#simo	#quin	1.0	Undirected
106	#peda	#viej	1.0	Undirected
105	#peda	#idio	1.0	Undirected
104	#cieg	#vent	1.0	Undirected
103	#cieg	#par	1.0	Undirected
78	#simo	#milo	1.0	Undirected
66	#tatu	#pere	1.0	Undirected
76	#simo	#sere	1.0	Undirected
22	#marg	#vent	1.0	Undirected
37	#pedr	#trop	1.0	Undirected
36	#pedr	#viej	1.0	Undirected
35	#pedr	#milo	1.0	Undirected
34	#pedr	#quin	1.0	Undirected
33	#pedr	#sere	1.0	Undirected
32	#pedr	#idio	1.0	Undirected
31	#pedr	#poca	1.0	Undirected
30	#pedr	#beni	1.0	Undirected
29	#pedr	#rein	1.0	Undirected
27	#pedr	#grit	1.0	Undirected
23	#marg	#sapo	1.0	Undirected
21	#marg	#trop	1.0	Undirected
39	#pedr	#sapo	1.0	Undirected
20	#marg	#matr	1.0	Undirected
19	#marg	#par	1.0	Undirected
18	#marg	#pere	1.0	Undirected
17	#marg	#sold	1.0	Undirected
14	#marg	#milo	1.0	Undirected
13	#marg	#mujs	1.0	Undirected
12	#marg	#quin	1.0	Undirected
11	#marg	#sere	1.0	Undirected
9	#marg	#ludo	1.0	Undirected
8	#marg	#tras	1.0	Undirected
5	#marg	#grit	1.0	Undirected
38	#pedr	#beat	1.0	Undirected
41	#luce	#simo	1.0	Undirected
75	#simo	#beni	1.0	Undirected
61	#tatu	#quin	1.0	Undirected
74	#simo	#grit	1.0	Undirected
73	#tatu	#sapo	1.0	Undirected
72	#tatu	#chal	1.0	Undirected
71	#tatu	#vent	1.0	Undirected
70	#tatu	#beat	1.0	Undirected
69	#tatu	#trop	1.0	Undirected
68	#tatu	#matr	1.0	Undirected
67	#tatu	#par	1.0	Undirected
65	#tatu	#sold	1.0	Undirected
63	#tatu	#milo	1.0	Undirected
62	#tatu	#mujs	1.0	Undirected
60	#tatu	#sere	1.0	Undirected
43	#luce	#cieg	1.0	Undirected
58	#tatu	#beni	1.0	Undirected
57	#tatu	#ludo	1.0	Undirected
56	#tatu	#rein	1.0	Undirected
55	#tatu	#peda	1.0	Undirected
53	#tatu	#grit	1.0	Undirected
50	#luce	#chal	1.0	Undirected
49	#luce	#vent	1.0	Undirected
48	#luce	#beat	1.0	Undirected
47	#luce	#vend	1.0	Undirected
46	#luce	#poca	1.0	Undirected
45	#luce	#beni	1.0	Undirected
132	#muje	#rapa	1.0	Undirected
