	Source	Target	Weight	Type
0	#ange	#eufe	13.0	Undirected
2	#ange	#feli	7.0	Undirected
7	#ange	#mart	6.0	Undirected
1	#ange	#joaq	6.0	Undirected
13	#eufe	#euse	6.0	Undirected
6	#ange	#ramo	5.0	Undirected
16	#eufe	#ramo	4.0	Undirected
21	#joaq	#nico	4.0	Undirected
4	#ange	#nico	4.0	Undirected
3	#ange	#euse	4.0	Undirected
12	#eufe	#feli	3.0	Undirected
31	#feli	#hime	3.0	Undirected
19	#joaq	#feli	3.0	Undirected
8	#ange	#pepe	2.0	Undirected
20	#joaq	#euse	2.0	Undirected
36	#nico	#teod	2.0	Undirected
32	#euse	#nico	2.0	Undirected
30	#feli	#hima	2.0	Undirected
27	#feli	#nico	2.0	Undirected
22	#joaq	#teod	2.0	Undirected
42	#hima	#hime	2.0	Undirected
11	#eufe	#joaq	2.0	Undirected
10	#ange	#hime	2.0	Undirected
14	#eufe	#nico	2.0	Undirected
5	#ange	#teod	2.0	Undirected
17	#eufe	#mart	2.0	Undirected
34	#euse	#ramo	1.0	Undirected
41	#mart	#pepe	1.0	Undirected
40	#teod	#pepe	1.0	Undirected
39	#nico	#hime	1.0	Undirected
38	#nico	#pepe	1.0	Undirected
37	#nico	#ramo	1.0	Undirected
35	#euse	#pepe	1.0	Undirected
18	#eufe	#pepe	1.0	Undirected
33	#euse	#teod	1.0	Undirected
29	#feli	#mart	1.0	Undirected
28	#feli	#ramo	1.0	Undirected
15	#eufe	#teod	1.0	Undirected
26	#feli	#euse	1.0	Undirected
9	#ange	#hima	1.0	Undirected
24	#joaq	#pepe	1.0	Undirected
23	#joaq	#ramo	1.0	Undirected
25	#joaq	#hime	1.0	Undirected
