	Source	Target	Weight	Type
0	#madr	#novo	4.0	Undirected
1	#madr	#nova	4.0	Undirected
19	#novo	#nova	4.0	Undirected
39	#nova	#padr	3.0	Undirected
21	#novo	#leon	3.0	Undirected
23	#novo	#padr	3.0	Undirected
30	#novo	#moz1	3.0	Undirected
116	#muc1	#muc2	3.0	Undirected
37	#nova	#leon	3.0	Undirected
38	#nova	#muje	3.0	Undirected
44	#nova	#muc2	3.0	Undirected
42	#nova	#muc1	3.0	Undirected
86	#muje	#muc2	3.0	Undirected
85	#muje	#muc1	3.0	Undirected
47	#nova	#moz1	3.0	Undirected
59	#cria	#padr	3.0	Undirected
67	#leon	#muje	3.0	Undirected
75	#leon	#moz1	3.0	Undirected
20	#novo	#cria	3.0	Undirected
36	#nova	#cria	3.0	Undirected
4	#madr	#muje	3.0	Undirected
9	#madr	#muc2	3.0	Undirected
5	#madr	#padr	3.0	Undirected
8	#madr	#muc1	3.0	Undirected
2	#madr	#cria	3.0	Undirected
123	#muc1	#moz2	2.0	Undirected
68	#leon	#padr	2.0	Undirected
98	#padr	#moz1	2.0	Undirected
83	#muje	#sueg	2.0	Undirected
136	#muc2	#moz2	2.0	Undirected
82	#muje	#padr	2.0	Undirected
81	#leon	#moz2	2.0	Undirected
106	#sueg	#much	2.0	Undirected
54	#nova	#moz2	2.0	Undirected
57	#cria	#leon	2.0	Undirected
58	#cria	#muje	2.0	Undirected
70	#leon	#muc1	2.0	Undirected
60	#cria	#muc1	2.0	Undirected
61	#cria	#muc2	2.0	Undirected
62	#cria	#moz1	2.0	Undirected
130	#muc2	#moz1	2.0	Undirected
66	#cria	#moz2	2.0	Undirected
3	#madr	#leon	2.0	Undirected
97	#padr	#muc2	2.0	Undirected
7	#madr	#veci	2.0	Undirected
87	#muje	#moz1	2.0	Undirected
117	#muc1	#moz1	2.0	Undirected
22	#novo	#muje	2.0	Undirected
16	#madr	#moz2	2.0	Undirected
96	#padr	#muc1	2.0	Undirected
25	#novo	#muc1	2.0	Undirected
27	#novo	#muc2	2.0	Undirected
148	#moz1	#moz2	2.0	Undirected
93	#muje	#moz2	2.0	Undirected
10	#madr	#moz1	2.0	Undirected
72	#leon	#muc2	2.0	Undirected
88	#muje	#much	2.0	Undirected
102	#padr	#moz2	2.0	Undirected
35	#novo	#moz2	2.0	Undirected
120	#muc1	#muer	1.0	Undirected
109	#sueg	#nina	1.0	Undirected
108	#sueg	#mujs	1.0	Undirected
119	#muc1	#voce	1.0	Undirected
118	#muc1	#much	1.0	Undirected
113	#veci	#muer	1.0	Undirected
121	#muc1	#muc3	1.0	Undirected
122	#muc1	#conv	1.0	Undirected
114	#veci	#mujs	1.0	Undirected
112	#veci	#much	1.0	Undirected
110	#veci	#muc1	1.0	Undirected
124	#muc1	#mujs	1.0	Undirected
111	#veci	#muc2	1.0	Undirected
115	#veci	#nina	1.0	Undirected
133	#muc2	#muer	1.0	Undirected
125	#muc1	#nina	1.0	Undirected
126	#len1	#len2	1.0	Undirected
159	#conv	#moz2	1.0	Undirected
158	#muc3	#moz2	1.0	Undirected
157	#muc3	#conv	1.0	Undirected
156	#muer	#nina	1.0	Undirected
155	#muer	#mujs	1.0	Undirected
154	#voce	#moz2	1.0	Undirected
153	#voce	#conv	1.0	Undirected
152	#voce	#muc3	1.0	Undirected
151	#much	#nina	1.0	Undirected
150	#much	#mujs	1.0	Undirected
149	#much	#muer	1.0	Undirected
147	#moz1	#conv	1.0	Undirected
146	#moz1	#muc3	1.0	Undirected
145	#moz1	#luna	1.0	Undirected
144	#moz1	#voce	1.0	Undirected
143	#len3	#luna	1.0	Undirected
142	#len3	#moz1	1.0	Undirected
141	#len2	#luna	1.0	Undirected
140	#len2	#moz1	1.0	Undirected
139	#len2	#len3	1.0	Undirected
138	#muc2	#nina	1.0	Undirected
137	#muc2	#mujs	1.0	Undirected
135	#muc2	#conv	1.0	Undirected
134	#muc2	#muc3	1.0	Undirected
132	#muc2	#voce	1.0	Undirected
131	#muc2	#much	1.0	Undirected
129	#len1	#luna	1.0	Undirected
128	#len1	#moz1	1.0	Undirected
127	#len1	#len3	1.0	Undirected
107	#sueg	#muer	1.0	Undirected
80	#leon	#conv	1.0	Undirected
105	#sueg	#muc2	1.0	Undirected
31	#novo	#voce	1.0	Undirected
50	#nova	#muer	1.0	Undirected
49	#nova	#voce	1.0	Undirected
48	#nova	#much	1.0	Undirected
46	#nova	#len3	1.0	Undirected
45	#nova	#len2	1.0	Undirected
43	#nova	#len1	1.0	Undirected
41	#nova	#veci	1.0	Undirected
40	#nova	#sueg	1.0	Undirected
34	#novo	#conv	1.0	Undirected
33	#novo	#muc3	1.0	Undirected
32	#novo	#luna	1.0	Undirected
29	#novo	#len3	1.0	Undirected
104	#sueg	#muc1	1.0	Undirected
28	#novo	#len2	1.0	Undirected
26	#novo	#len1	1.0	Undirected
24	#novo	#veci	1.0	Undirected
18	#madr	#nina	1.0	Undirected
17	#madr	#mujs	1.0	Undirected
15	#madr	#conv	1.0	Undirected
14	#madr	#muc3	1.0	Undirected
13	#madr	#muer	1.0	Undirected
12	#madr	#voce	1.0	Undirected
11	#madr	#much	1.0	Undirected
6	#madr	#sueg	1.0	Undirected
51	#nova	#luna	1.0	Undirected
52	#nova	#muc3	1.0	Undirected
53	#nova	#conv	1.0	Undirected
55	#nova	#mujs	1.0	Undirected
103	#sueg	#veci	1.0	Undirected
101	#padr	#conv	1.0	Undirected
100	#padr	#muc3	1.0	Undirected
99	#padr	#voce	1.0	Undirected
95	#muje	#nina	1.0	Undirected
94	#muje	#mujs	1.0	Undirected
92	#muje	#conv	1.0	Undirected
91	#muje	#muc3	1.0	Undirected
90	#muje	#muer	1.0	Undirected
89	#muje	#voce	1.0	Undirected
84	#muje	#veci	1.0	Undirected
79	#leon	#muc3	1.0	Undirected
78	#leon	#luna	1.0	Undirected
77	#leon	#voce	1.0	Undirected
76	#leon	#much	1.0	Undirected
74	#leon	#len3	1.0	Undirected
73	#leon	#len2	1.0	Undirected
71	#leon	#len1	1.0	Undirected
69	#leon	#sueg	1.0	Undirected
65	#cria	#conv	1.0	Undirected
64	#cria	#muc3	1.0	Undirected
63	#cria	#voce	1.0	Undirected
56	#nova	#nina	1.0	Undirected
160	#mujs	#nina	1.0	Undirected
